Sequence_ID,Binding_Score_Sum,Isolated_Id,Strain,Subtype,Collection_Date
A_Guangdong-Luohu_1266_2014|EPI_ISL_166278|A_/_H1N1|2014-04-01,0,EPI_ISL_166278,A_Guangdong-Luohu_1266_2014,A_/_H1N1,2014-04-01
A_Guangdong-Luohu_1294_2016|EPI_ISL_234633|A_/_H1N1|2016-04-11,0,EPI_ISL_234633,A_Guangdong-Luohu_1294_2016,A_/_H1N1,2016-04-11
A_Guangdong-Luohu_SWL1294_2016|EPI_ISL_225320|A_/_H1N1|2016-04-11,0,EPI_ISL_225320,A_Guangdong-Luohu_SWL1294_2016,A_/_H1N1,2016-04-11
A_Guangdong-Luohu_SWL130_2010|EPI_ISL_74934|A_/_H1N1|2010-01-14,0,EPI_ISL_74934,A_Guangdong-Luohu_SWL130_2010,A_/_H1N1,2010-01-14
A_Guangdong-Luohu_SWL137_2010|EPI_ISL_75078|A_/_H1N1|2010-01-14,0,EPI_ISL_75078,A_Guangdong-Luohu_SWL137_2010,A_/_H1N1,2010-01-14
A_Guangdong-Luohu_SWL18_2010|EPI_ISL_74933|A_/_H1N1|2010-01-08,0,EPI_ISL_74933,A_Guangdong-Luohu_SWL18_2010,A_/_H1N1,2010-01-08
A_Guangdong-Maonan_1536_2019|EPI_ISL_390379|A_/_H1N1|2019-06-17,0,EPI_ISL_390379,A_Guangdong-Maonan_1536_2019,A_/_H1N1,2019-06-17
A_Guangdong-Maonan_197_2020|EPI_ISL_628764|A_/_H1N1|2020-02-06,0,EPI_ISL_628764,A_Guangdong-Maonan_197_2020,A_/_H1N1,2020-02-06
A_Guangdong-Maonan_SWL1187_2017|EPI_ISL_270683|A_/_H1N1|2017-03-07,0,EPI_ISL_270683,A_Guangdong-Maonan_SWL1187_2017,A_/_H1N1,2017-03-07
A_Guangdong-Maonan_SWL1331_2019|EPI_ISL_367243|A_/_H1N1|2019-04-09,0,EPI_ISL_367243,A_Guangdong-Maonan_SWL1331_2019,A_/_H1N1,2019-04-09
A_Guangdong-Maonan_SWL1536_2019|EPI_ISL_392654|A_/_H1N1|2019-06-17,0,EPI_ISL_392654,A_Guangdong-Maonan_SWL1536_2019,A_/_H1N1,2019-06-17
A_Guangdong-Maonan_SWL1599_2019|EPI_ISL_614336|A_/_H1N1|2019-07-08,0,EPI_ISL_614336,A_Guangdong-Maonan_SWL1599_2019,A_/_H1N1,2019-07-08
A_Guangdong-Maonan_SWL1646_2019|EPI_ISL_390689|A_/_H1N1|2019-07-23,0,EPI_ISL_390689,A_Guangdong-Maonan_SWL1646_2019,A_/_H1N1,2019-07-23
A_Guangdong-Maonan_SWL197_2020|EPI_ISL_13497565|A_/_H1N1|2020-02-06,0,EPI_ISL_13497565,A_Guangdong-Maonan_SWL197_2020,A_/_H1N1,2020-02-06
A_Guangdong-Meijiang_SWL1107_2020|EPI_ISL_485492|A_/_H1N1|2020-01-31,0,EPI_ISL_485492,A_Guangdong-Meijiang_SWL1107_2020,A_/_H1N1,2020-01-31
A_Guangdong-Meijiang_SWL1126_2020|EPI_ISL_485483|A_/_H1N1|2020-02-06,0,EPI_ISL_485483,A_Guangdong-Meijiang_SWL1126_2020,A_/_H1N1,2020-02-06
A_Guangdong-Meijiang_SWL1165_2016|EPI_ISL_225324|A_/_H1N1|2016-02-25,0,EPI_ISL_225324,A_Guangdong-Meijiang_SWL1165_2016,A_/_H1N1,2016-02-25
A_Guangdong-Meixian_SWL326_2018|EPI_ISL_336914|A_/_H1N1|2018-12-07,0,EPI_ISL_336914,A_Guangdong-Meixian_SWL326_2018,A_/_H1N1,2018-12-07
A_Guangdong-Pengjiang_SWL1384_2024|EPI_ISL_19291280|A_/_H1N1|2024-05-21,4,EPI_ISL_19291280,A_Guangdong-Pengjiang_SWL1384_2024,A_/_H1N1,2024-05-21
A_Guangdong-Pengjiang_SWL1427_2023|EPI_ISL_18068619|A_/_H1N1|2023-04-18,2,EPI_ISL_18068619,A_Guangdong-Pengjiang_SWL1427_2023,A_/_H1N1,2023-04-18
A_Guangdong-Pengjiang_SWL1518_2017|EPI_ISL_278678|A_/_H1N1|2017-06-05,0,EPI_ISL_278678,A_Guangdong-Pengjiang_SWL1518_2017,A_/_H1N1,2017-06-05
A_Guangdong-Qingcheng_SWL11054_2018|EPI_ISL_336915|A_/_H1N1|2018-12-17,0,EPI_ISL_336915,A_Guangdong-Qingcheng_SWL11054_2018,A_/_H1N1,2018-12-17
A_Guangdong-Qingcheng_SWL1116_2019|EPI_ISL_367261|A_/_H1N1|2019-02-12,0,EPI_ISL_367261,A_Guangdong-Qingcheng_SWL1116_2019,A_/_H1N1,2019-02-12
A_Guangdong-Qingcheng_SWL2122_2024|EPI_ISL_19291125|A_/_H1N1|2024-03-11,2,EPI_ISL_19291125,A_Guangdong-Qingcheng_SWL2122_2024,A_/_H1N1,2024-03-11
A_Guangdong-Qingcheng_SWL2184_2024|EPI_ISL_19291168|A_/_H1N1|2024-04-01,2,EPI_ISL_19291168,A_Guangdong-Qingcheng_SWL2184_2024,A_/_H1N1,2024-04-01
A_Guangdong-Qingcheng_SWL2580_2024|EPI_ISL_19373875|A_/_H1N1|2024-08-12,2,EPI_ISL_19373875,A_Guangdong-Qingcheng_SWL2580_2024,A_/_H1N1,2024-08-12
A_Guangdong-Qingcheng_SWL8192_2024|EPI_ISL_19374004|A_/_H1N1|2024-07-02,2,EPI_ISL_19374004,A_Guangdong-Qingcheng_SWL8192_2024,A_/_H1N1,2024-07-02
A_Guangdong-Rongcheng_SWL1392_2019|EPI_ISL_390706|A_/_H1N1|2019-05-13,0,EPI_ISL_390706,A_Guangdong-Rongcheng_SWL1392_2019,A_/_H1N1,2019-05-13
A_Guangdong-Rongcheng_SWL1449_2019|EPI_ISL_367397|A_/_H1N1|2019-06-03,0,EPI_ISL_367397,A_Guangdong-Rongcheng_SWL1449_2019,A_/_H1N1,2019-06-03
A_Guangdong-Suixi_SWL32_2023|EPI_ISL_18068738|A_/_H1N1|2023-03-10,2,EPI_ISL_18068738,A_Guangdong-Suixi_SWL32_2023,A_/_H1N1,2023-03-10
A_Guangdong-Wujiang_SWL51_2010|EPI_ISL_75867|A_/_H1N1|2010-03-18,0,EPI_ISL_75867,A_Guangdong-Wujiang_SWL51_2010,A_/_H1N1,2010-03-18
A_Guangdong-Xiangqiao_SWL1392_2024|EPI_ISL_19291293|A_/_H1N1|2024-06-06,2,EPI_ISL_19291293,A_Guangdong-Xiangqiao_SWL1392_2024,A_/_H1N1,2024-06-06
A_Guangdong-Xiangqiao_SWL1625_2019|EPI_ISL_390688|A_/_H1N1|2019-07-29,0,EPI_ISL_390688,A_Guangdong-Xiangqiao_SWL1625_2019,A_/_H1N1,2019-07-29
A_Guangdong-Xiangqiao_SWL8249_2024|EPI_ISL_19599415|A_/_H1N1|2024-09-06,2,EPI_ISL_19599415,A_Guangdong-Xiangqiao_SWL8249_2024,A_/_H1N1,2024-09-06
A_Guangdong-Xiangzhou_1623_2011|EPI_ISL_96063|A_/_H1N1|2011-07-07,0,EPI_ISL_96063,A_Guangdong-Xiangzhou_1623_2011,A_/_H1N1,2011-07-07
A_Guangdong-Xiangzhou_SWL11232_2018|EPI_ISL_334935|A_/_H1N1|2018-07-31,0,EPI_ISL_334935,A_Guangdong-Xiangzhou_SWL11232_2018,A_/_H1N1,2018-07-31
A_Guangdong-Xiangzhou_SWL11671_2018|EPI_ISL_334604|A_/_H1N1|2018-10-23,0,EPI_ISL_334604,A_Guangdong-Xiangzhou_SWL11671_2018,A_/_H1N1,2018-10-23
A_Guangdong-Xiangzhou_SWL1357_2023|EPI_ISL_18068953|A_/_H1N1|2023-02-27,2,EPI_ISL_18068953,A_Guangdong-Xiangzhou_SWL1357_2023,A_/_H1N1,2023-02-27
A_Guangdong-Xiangzhou_SWL3175_2018|EPI_ISL_334580|A_/_H1N1|2018-11-02,0,EPI_ISL_334580,A_Guangdong-Xiangzhou_SWL3175_2018,A_/_H1N1,2018-11-02
A_Guangdong-Xiangzhou_SWL8223_2019|EPI_ISL_367274|A_/_H1N1|2019-05-07,0,EPI_ISL_367274,A_Guangdong-Xiangzhou_SWL8223_2019,A_/_H1N1,2019-05-07
A_Guangdong-Xiangzhou_SWL8296_2018|EPI_ISL_334964|A_/_H1N1|2018-06-05,0,EPI_ISL_334964,A_Guangdong-Xiangzhou_SWL8296_2018,A_/_H1N1,2018-06-05
A_Guangdong-Xinfeng_SWL361_2023|EPI_ISL_18068637|A_/_H1N1|2023-04-26,2,EPI_ISL_18068637,A_Guangdong-Xinfeng_SWL361_2023,A_/_H1N1,2023-04-26
A_Guangdong-Xinxing_SWL198_2011|EPI_ISL_94583|A_/_H1N1|2011-03-07,0,EPI_ISL_94583,A_Guangdong-Xinxing_SWL198_2011,A_/_H1N1,2011-03-07
A_Guangdong-Yingde_SWL346_2018|EPI_ISL_336916|A_/_H1N1|2018-12-17,0,EPI_ISL_336916,A_Guangdong-Yingde_SWL346_2018,A_/_H1N1,2018-12-17
A_Guangdong-Yuancheng_SWL1503_2024|EPI_ISL_19373871|A_/_H1N1|2024-07-23,2,EPI_ISL_19373871,A_Guangdong-Yuancheng_SWL1503_2024,A_/_H1N1,2024-07-23
A_Guangdong-Yuexiu_SWL11077_2018|EPI_ISL_334967|A_/_H1N1|2018-07-03,0,EPI_ISL_334967,A_Guangdong-Yuexiu_SWL11077_2018,A_/_H1N1,2018-07-03
A_Guangdong-Yuexiu_SWL11277_2018|EPI_ISL_334946|A_/_H1N1|2018-08-06,0,EPI_ISL_334946,A_Guangdong-Yuexiu_SWL11277_2018,A_/_H1N1,2018-08-06
A_Guangdong-Yuexiu_SWL1276_2010|EPI_ISL_75872|A_/_H1N1|2010-03-01,0,EPI_ISL_75872,A_Guangdong-Yuexiu_SWL1276_2010,A_/_H1N1,2010-03-01
A_Guangdong-Yuexiu_SWL1740_2024|EPI_ISL_19374029|A_/_H1N1|2024-06-04,2,EPI_ISL_19374029,A_Guangdong-Yuexiu_SWL1740_2024,A_/_H1N1,2024-06-04
A_Guangdong-Yuexiu_SWL1756_2023|EPI_ISL_18068613|A_/_H1N1|2023-05-09,2,EPI_ISL_18068613,A_Guangdong-Yuexiu_SWL1756_2023,A_/_H1N1,2023-05-09
A_Guangdong-Yuexiu_SWL1898_2018|EPI_ISL_334933|A_/_H1N1|2018-05-29,0,EPI_ISL_334933,A_Guangdong-Yuexiu_SWL1898_2018,A_/_H1N1,2018-05-29
A_Guangdong-Yuexiu_SWL193_2010|EPI_ISL_75020|A_/_H1N1|2010-01-19,0,EPI_ISL_75020,A_Guangdong-Yuexiu_SWL193_2010,A_/_H1N1,2010-01-19
A_Guangdong-Zhenjiang_SWL1173_2020|EPI_ISL_485451|A_/_H1N1|2020-03-02,0,EPI_ISL_485451,A_Guangdong-Zhenjiang_SWL1173_2020,A_/_H1N1,2020-03-02
A_Guangdong-Zhenjiang_SWL1181_2024|EPI_ISL_19291155|A_/_H1N1|2024-03-26,2,EPI_ISL_19291155,A_Guangdong-Zhenjiang_SWL1181_2024,A_/_H1N1,2024-03-26
A_Guangdong-Zhenjiang_SWL1246_2019|EPI_ISL_367291|A_/_H1N1|2019-03-26,0,EPI_ISL_367291,A_Guangdong-Zhenjiang_SWL1246_2019,A_/_H1N1,2019-03-26
A_Guangdong-Zhenjiang_SWL1343_2018|EPI_ISL_335049|A_/_H1N1|2018-05-01,0,EPI_ISL_335049,A_Guangdong-Zhenjiang_SWL1343_2018,A_/_H1N1,2018-05-01
A_Guangdong-Zhenjiang_SWL1422_2018|EPI_ISL_334928|A_/_H1N1|2018-05-21,0,EPI_ISL_334928,A_Guangdong-Zhenjiang_SWL1422_2018,A_/_H1N1,2018-05-21
A_Guangdong-Zhenjiang_SWL1593_2018|EPI_ISL_334936|A_/_H1N1|2018-07-24,2,EPI_ISL_334936,A_Guangdong-Zhenjiang_SWL1593_2018,A_/_H1N1,2018-07-24
A_Guangdong-Zhenjiang_SWL165_2010|EPI_ISL_75865|A_/_H1N1|2010-01-25,0,EPI_ISL_75865,A_Guangdong-Zhenjiang_SWL165_2010,A_/_H1N1,2010-01-25
A_Guangdong-Zhenjiang_SWL176_2010|EPI_ISL_75868|A_/_H1N1|2010-01-26,0,EPI_ISL_75868,A_Guangdong-Zhenjiang_SWL176_2010,A_/_H1N1,2010-01-26
A_Guangdong-Zhongshan_1474_2014|EPI_ISL_164787|A_/_H1N1|2014-05-13,0,EPI_ISL_164787,A_Guangdong-Zhongshan_1474_2014,A_/_H1N1,2014-05-13
A_Guangdong-Zhongshan_SWL11197_2018|EPI_ISL_336910|A_/_H1N1|2018-12-12,0,EPI_ISL_336910,A_Guangdong-Zhongshan_SWL11197_2018,A_/_H1N1,2018-12-12
A_Guangdong-Zhongshan_SWL1150_2023|EPI_ISL_17465802|A_/_H1N1|2023-02-13,2,EPI_ISL_17465802,A_Guangdong-Zhongshan_SWL1150_2023,A_/_H1N1,2023-02-13
A_Guangdong-Zhongshan_SWL1323_2014_C1+C1|EPI_ISL_334437|A_/_H1N1|2014-04-01,0,EPI_ISL_334437,A_Guangdong-Zhongshan_SWL1323_2014_C1+C1,A_/_H1N1,2014-04-01
A_Guangdong-Zhongshan_SWL1323_2014_E2+E1|EPI_ISL_334438|A_/_H1N1|2014-04-01,0,EPI_ISL_334438,A_Guangdong-Zhongshan_SWL1323_2014_E2+E1,A_/_H1N1,2014-04-01
A_Guangdong-Zhongshan_SWL1326_2017|EPI_ISL_270653|A_/_H1N1|2017-04-11,0,EPI_ISL_270653,A_Guangdong-Zhongshan_SWL1326_2017,A_/_H1N1,2017-04-11
A_Guangdong-Zhongshan_SWL1551_2018|EPI_ISL_334979|A_/_H1N1|2018-06-06,0,EPI_ISL_334979,A_Guangdong-Zhongshan_SWL1551_2018,A_/_H1N1,2018-06-06
A_Guangdong-Zhongshan_SWL1641_2018|EPI_ISL_334966|A_/_H1N1|2018-07-03,0,EPI_ISL_334966,A_Guangdong-Zhongshan_SWL1641_2018,A_/_H1N1,2018-07-03
A_Guangdong-Zhongshan_SWL1710_2018|EPI_ISL_334751|A_/_H1N1|2018-07-24,0,EPI_ISL_334751,A_Guangdong-Zhongshan_SWL1710_2018,A_/_H1N1,2018-07-24
A_Guangdong-Zhongshan_SWL1751_2018|EPI_ISL_334945|A_/_H1N1|2018-08-01,0,EPI_ISL_334945,A_Guangdong-Zhongshan_SWL1751_2018,A_/_H1N1,2018-08-01
A_Guangdong-Zhongshan_SWL1876_2018|EPI_ISL_334635|A_/_H1N1|2018-09-11,0,EPI_ISL_334635,A_Guangdong-Zhongshan_SWL1876_2018,A_/_H1N1,2018-09-11
A_Guangdong-Zhongshan_SWL1980_2018|EPI_ISL_334636|A_/_H1N1|2018-10-10,0,EPI_ISL_334636,A_Guangdong-Zhongshan_SWL1980_2018,A_/_H1N1,2018-10-10
A_Guangdong-Zhongshan_SWL2717_2024|EPI_ISL_19599470|A_/_H1N1|2024-09-03,2,EPI_ISL_19599470,A_Guangdong-Zhongshan_SWL2717_2024,A_/_H1N1,2024-09-03
A_Guangdong_001_2011|EPI_ISL_104431|A_/_H1N1|2011-01-18,0,EPI_ISL_104431,A_Guangdong_001_2011,A_/_H1N1,2011-01-18
A_Guangdong_002_2011|EPI_ISL_104432|A_/_H1N1|2011-01-19,0,EPI_ISL_104432,A_Guangdong_002_2011,A_/_H1N1,2011-01-19
A_Guangdong_004_2011|EPI_ISL_104433|A_/_H1N1|2011-02-09,0,EPI_ISL_104433,A_Guangdong_004_2011,A_/_H1N1,2011-02-09
A_Guangdong_006_2011|EPI_ISL_104434|A_/_H1N1|2011-02-08,0,EPI_ISL_104434,A_Guangdong_006_2011,A_/_H1N1,2011-02-08
A_Guangdong_010_2011|EPI_ISL_104435|A_/_H1N1|2011-01-30,0,EPI_ISL_104435,A_Guangdong_010_2011,A_/_H1N1,2011-01-30
A_Guangdong_012_2011|EPI_ISL_104436|A_/_H1N1|2011-01-29,0,EPI_ISL_104436,A_Guangdong_012_2011,A_/_H1N1,2011-01-29
A_Guangdong_013_2011|EPI_ISL_104437|A_/_H1N1|2011-02-14,0,EPI_ISL_104437,A_Guangdong_013_2011,A_/_H1N1,2011-02-14
A_Guangdong_015_2011|EPI_ISL_104438|A_/_H1N1|2011-02-14,0,EPI_ISL_104438,A_Guangdong_015_2011,A_/_H1N1,2011-02-14
A_Guangdong_026_2011|EPI_ISL_104439|A_/_H1N1|2011-02-21,0,EPI_ISL_104439,A_Guangdong_026_2011,A_/_H1N1,2011-02-21
A_Guangdong_029_2011|EPI_ISL_104440|A_/_H1N1|2011-02-21,0,EPI_ISL_104440,A_Guangdong_029_2011,A_/_H1N1,2011-02-21
A_Guangdong_032_2011|EPI_ISL_104441|A_/_H1N1|2011-01-18,0,EPI_ISL_104441,A_Guangdong_032_2011,A_/_H1N1,2011-01-18
A_Guangdong_033_2011|EPI_ISL_104442|A_/_H1N1|2011-02-28,0,EPI_ISL_104442,A_Guangdong_033_2011,A_/_H1N1,2011-02-28
A_Guangdong_036_2011|EPI_ISL_104443|A_/_H1N1|2011-02-19,0,EPI_ISL_104443,A_Guangdong_036_2011,A_/_H1N1,2011-02-19
A_Guangdong_040_2011|EPI_ISL_104444|A_/_H1N1|2011-03-03,0,EPI_ISL_104444,A_Guangdong_040_2011,A_/_H1N1,2011-03-03
A_Guangdong_048_2011|EPI_ISL_104445|A_/_H1N1|2011-03-01,0,EPI_ISL_104445,A_Guangdong_048_2011,A_/_H1N1,2011-03-01
A_Guangdong_049_2011|EPI_ISL_104446|A_/_H1N1|2011-01-24,0,EPI_ISL_104446,A_Guangdong_049_2011,A_/_H1N1,2011-01-24
A_Guangdong_052_2011|EPI_ISL_104447|A_/_H1N1|2011-02-21,0,EPI_ISL_104447,A_Guangdong_052_2011,A_/_H1N1,2011-02-21
A_Guangdong_067_2011|EPI_ISL_104448|A_/_H1N1|2011-02-22,0,EPI_ISL_104448,A_Guangdong_067_2011,A_/_H1N1,2011-02-22
A_Guangdong_102_2011|EPI_ISL_124900|A_/_H1N1|2011-02-22,0,EPI_ISL_124900,A_Guangdong_102_2011,A_/_H1N1,2011-02-22
A_Guangdong_1057_2010|EPI_ISL_381548|A_/_H1N1|2010-04-05,0,EPI_ISL_381548,A_Guangdong_1057_2010,A_/_H1N1,2010-04-05
A_Guangdong_13_2011|EPI_ISL_124909|A_/_H1N1|2011-02-15,0,EPI_ISL_124909,A_Guangdong_13_2011,A_/_H1N1,2011-02-15
A_Guangdong_147_2011|EPI_ISL_124910|A_/_H1N1|2011-05-25,0,EPI_ISL_124910,A_Guangdong_147_2011,A_/_H1N1,2011-05-25
A_Guangdong_1513_2012|EPI_ISL_137473|A_/_H1N1|2012-12-19,0,EPI_ISL_137473,A_Guangdong_1513_2012,A_/_H1N1,2012-12-19
A_Guangdong_195_2010|EPI_ISL_124911|A_/_H1N1|2010-04-22,0,EPI_ISL_124911,A_Guangdong_195_2010,A_/_H1N1,2010-04-22
A_Guangdong_202_2010|EPI_ISL_104414|A_/_H1N1|2010-04-28,0,EPI_ISL_104414,A_Guangdong_202_2010,A_/_H1N1,2010-04-28
A_Guangdong_2315_2010|EPI_ISL_104449|A_/_H1N1|2010-02-04,0,EPI_ISL_104449,A_Guangdong_2315_2010,A_/_H1N1,2010-02-04
A_Guangdong_286_2010|EPI_ISL_104415|A_/_H1N1|2010-07-13,2,EPI_ISL_104415,A_Guangdong_286_2010,A_/_H1N1,2010-07-13
A_Guangdong_296_2010|EPI_ISL_124912|A_/_H1N1|2010-07-29,0,EPI_ISL_124912,A_Guangdong_296_2010,A_/_H1N1,2010-07-29
A_Guangdong_2989_2010|EPI_ISL_104450|A_/_H1N1|2010-03-07,0,EPI_ISL_104450,A_Guangdong_2989_2010,A_/_H1N1,2010-03-07
A_Guangdong_302_2010|EPI_ISL_124913|A_/_H1N1|2010-07-22,0,EPI_ISL_124913,A_Guangdong_302_2010,A_/_H1N1,2010-07-22
A_Guangdong_312_2010|EPI_ISL_104418|A_/_H1N1|2010-06-25,2,EPI_ISL_104418,A_Guangdong_312_2010,A_/_H1N1,2010-06-25
A_Guangdong_321_2010|EPI_ISL_104419|A_/_H1N1|2010-08-06,0,EPI_ISL_104419,A_Guangdong_321_2010,A_/_H1N1,2010-08-06
A_Guangdong_32_2011|EPI_ISL_124914|A_/_H1N1|2011-02-12,0,EPI_ISL_124914,A_Guangdong_32_2011,A_/_H1N1,2011-02-12
A_Guangdong_353_2010|EPI_ISL_104420|A_/_H1N1|2010-08-24,0,EPI_ISL_104420,A_Guangdong_353_2010,A_/_H1N1,2010-08-24
A_Guangdong_370_2010|EPI_ISL_124915|A_/_H1N1|2010-08-30,0,EPI_ISL_124915,A_Guangdong_370_2010,A_/_H1N1,2010-08-30
A_Guangdong_371_2010|EPI_ISL_104422|A_/_H1N1|2010-08-11,0,EPI_ISL_104422,A_Guangdong_371_2010,A_/_H1N1,2010-08-11
A_Guangdong_378_2010|EPI_ISL_104423|A_/_H1N1|2010-03-24,0,EPI_ISL_104423,A_Guangdong_378_2010,A_/_H1N1,2010-03-24
A_Guangdong_379_2010|EPI_ISL_124916|A_/_H1N1|2010-04-11,0,EPI_ISL_124916,A_Guangdong_379_2010,A_/_H1N1,2010-04-11
A_Guangdong_39_2011|EPI_ISL_124917|A_/_H1N1|2011-02-28,0,EPI_ISL_124917,A_Guangdong_39_2011,A_/_H1N1,2011-02-28
A_Guangdong_410_2010|EPI_ISL_104425|A_/_H1N1|2010-09-07,0,EPI_ISL_104425,A_Guangdong_410_2010,A_/_H1N1,2010-09-07
A_Guangdong_420_2010|EPI_ISL_104426|A_/_H1N1|2010-09-20,0,EPI_ISL_104426,A_Guangdong_420_2010,A_/_H1N1,2010-09-20
A_Guangdong_4220_2010|EPI_ISL_104451|A_/_H1N1|2010-04-12,0,EPI_ISL_104451,A_Guangdong_4220_2010,A_/_H1N1,2010-04-12
A_Guangdong_427_2010|EPI_ISL_124918|A_/_H1N1|2010-09-21,0,EPI_ISL_124918,A_Guangdong_427_2010,A_/_H1N1,2010-09-21
A_Guangdong_436_2010|EPI_ISL_124919|A_/_H1N1|2010-08-13,0,EPI_ISL_124919,A_Guangdong_436_2010,A_/_H1N1,2010-08-13
A_Guangdong_438_2010|EPI_ISL_104429|A_/_H1N1|2010-10-08,0,EPI_ISL_104429,A_Guangdong_438_2010,A_/_H1N1,2010-10-08
A_Guangdong_465_2010|EPI_ISL_104430|A_/_H1N1|2010-08-29,0,EPI_ISL_104430,A_Guangdong_465_2010,A_/_H1N1,2010-08-29
A_Guangdong_47_2011|EPI_ISL_124920|A_/_H1N1|2011-02-25,0,EPI_ISL_124920,A_Guangdong_47_2011,A_/_H1N1,2011-02-25
A_Guangdong_501_2010|EPI_ISL_177982|A_/_H1N1|2010-02-06,0,EPI_ISL_177982,A_Guangdong_501_2010,A_/_H1N1,2010-02-06
A_Guangdong_50_2011|EPI_ISL_124921|A_/_H1N1|2011-02-22,0,EPI_ISL_124921,A_Guangdong_50_2011,A_/_H1N1,2011-02-22
A_Guangdong_5303_2010|EPI_ISL_104452|A_/_H1N1|2010-05-10,0,EPI_ISL_104452,A_Guangdong_5303_2010,A_/_H1N1,2010-05-10
A_Guangdong_67_2011|EPI_ISL_124922|A_/_H1N1|2011-02-22,0,EPI_ISL_124922,A_Guangdong_67_2011,A_/_H1N1,2011-02-22
A_Guangdong_7232_2010|EPI_ISL_104453|A_/_H1N1|2010-06-20,0,EPI_ISL_104453,A_Guangdong_7232_2010,A_/_H1N1,2010-06-20
A_Guangdong_8450_2010|EPI_ISL_104454|A_/_H1N1|2010-07-18,0,EPI_ISL_104454,A_Guangdong_8450_2010,A_/_H1N1,2010-07-18
A_Guangdong_9458_2010|EPI_ISL_104455|A_/_H1N1|2010-08-16,0,EPI_ISL_104455,A_Guangdong_9458_2010,A_/_H1N1,2010-08-16
A_Guangdong_GLW_2018|EPI_ISL_335963|A_/_H1N1|2018-12-29,0,EPI_ISL_335963,A_Guangdong_GLW_2018,A_/_H1N1,2018-12-29
A_Guangdong_LCF_2019|EPI_ISL_412027|A_/_H1N1|2019-12-21,0,EPI_ISL_412027,A_Guangdong_LCF_2019,A_/_H1N1,2019-12-21
A_Guangdong_YZF01_2024|EPI_ISL_19740043|A_/_H1N1|2024-12-20,2,EPI_ISL_19740043,A_Guangdong_YZF01_2024,A_/_H1N1,2024-12-20
A_Guangdong_sz1_2011|EPI_ISL_104412|A_/_H1N1|2011-01-13,0,EPI_ISL_104412,A_Guangdong_sz1_2011,A_/_H1N1,2011-01-13
A_Guangdong_sz2_2011|EPI_ISL_104413|A_/_H1N1|2011-01-13,0,EPI_ISL_104413,A_Guangdong_sz2_2011,A_/_H1N1,2011-01-13
A_Guangxi-Beiliu_SWL52_2010|EPI_ISL_74995|A_/_H1N1|2010-02-01,0,EPI_ISL_74995,A_Guangxi-Beiliu_SWL52_2010,A_/_H1N1,2010-02-01
A_Guangxi-Beiliu_SWL53_2010|EPI_ISL_75034|A_/_H1N1|2010-02-01,0,EPI_ISL_75034,A_Guangxi-Beiliu_SWL53_2010,A_/_H1N1,2010-02-01
A_Guangxi-Beiliu_SWL54_2010|EPI_ISL_75026|A_/_H1N1|2010-02-01,0,EPI_ISL_75026,A_Guangxi-Beiliu_SWL54_2010,A_/_H1N1,2010-02-01
A_Guangxi-Binyang_SWL33_2017|EPI_ISL_270651|A_/_H1N1|2017-03-24,0,EPI_ISL_270651,A_Guangxi-Binyang_SWL33_2017,A_/_H1N1,2017-03-24
A_Guangxi-Cangwu_SWL31_2018|EPI_ISL_337318|A_/_H1N1|2018-12-26,0,EPI_ISL_337318,A_Guangxi-Cangwu_SWL31_2018,A_/_H1N1,2018-12-26
A_Guangxi-Cenxi_SWL313_2018|EPI_ISL_337317|A_/_H1N1|2018-12-24,0,EPI_ISL_337317,A_Guangxi-Cenxi_SWL313_2018,A_/_H1N1,2018-12-24
A_Guangxi-Daxin_SWL242_2024|EPI_ISL_19374020|A_/_H1N1|2024-06-17,2,EPI_ISL_19374020,A_Guangxi-Daxin_SWL242_2024,A_/_H1N1,2024-06-17
A_Guangxi-Douanyaozuzizhi_SWL31_2023|EPI_ISL_18068727|A_/_H1N1|2023-03-27,2,EPI_ISL_18068727,A_Guangxi-Douanyaozuzizhi_SWL31_2023,A_/_H1N1,2023-03-27
A_Guangxi-Fangcheng_SWL1130_2010|EPI_ISL_75043|A_/_H1N1|2010-02-22,0,EPI_ISL_75043,A_Guangxi-Fangcheng_SWL1130_2010,A_/_H1N1,2010-02-22
A_Guangxi-Fangcheng_SWL175_2010|EPI_ISL_74991|A_/_H1N1|2010-01-30,2,EPI_ISL_74991,A_Guangxi-Fangcheng_SWL175_2010,A_/_H1N1,2010-01-30
A_Guangxi-Fangcheng_SWL179_2010|EPI_ISL_74992|A_/_H1N1|2010-02-01,2,EPI_ISL_74992,A_Guangxi-Fangcheng_SWL179_2010,A_/_H1N1,2010-02-01
A_Guangxi-Fangcheng_SWL183_2010|EPI_ISL_75027|A_/_H1N1|2010-02-02,2,EPI_ISL_75027,A_Guangxi-Fangcheng_SWL183_2010,A_/_H1N1,2010-02-02
A_Guangxi-Fangcheng_SWL184_2010|EPI_ISL_75025|A_/_H1N1|2010-02-02,2,EPI_ISL_75025,A_Guangxi-Fangcheng_SWL184_2010,A_/_H1N1,2010-02-02
A_Guangxi-Fangcheng_SWL188_2010|EPI_ISL_75049|A_/_H1N1|2010-02-03,2,EPI_ISL_75049,A_Guangxi-Fangcheng_SWL188_2010,A_/_H1N1,2010-02-03
A_Guangxi-Fangcheng_SWL189_2010|EPI_ISL_75053|A_/_H1N1|2010-02-03,2,EPI_ISL_75053,A_Guangxi-Fangcheng_SWL189_2010,A_/_H1N1,2010-02-03
